"","ENSEMBL","annotation","count"
"1","ENSG00000000003","Distal Intergenic",1
"2","ENSG00000000003","Downstream (2-3kb)",1
"3","ENSG00000000003","Promoter (<=1kb)",1
"4","ENSG00000000005","Distal Intergenic",3
"5","ENSG00000000419","Promoter (<=1kb)",1
"6","ENSG00000000457","Distal Intergenic",3
"7","ENSG00000000457","Downstream (1-2kb)",1
"8","ENSG00000000457","Intron",3
"9","ENSG00000000457","Promoter (<=1kb)",1
"10","ENSG00000000457","Promoter (1-2kb)",2
"11","ENSG00000000457","Promoter (2-3kb)",1
"12","ENSG00000000460","Intron",3
"13","ENSG00000000460","Promoter (<=1kb)",1
"14","ENSG00000000938","Distal Intergenic",1
"15","ENSG00000000938","Promoter (<=1kb)",3
"16","ENSG00000000938","Promoter (1-2kb)",1
"17","ENSG00000000938","Promoter (2-3kb)",1
"18","ENSG00000000971","Intron",2
"19","ENSG00000000971","Promoter (1-2kb)",1
"20","ENSG00000001036","Distal Intergenic",3
"21","ENSG00000001036","Exon",1
"22","ENSG00000001036","Promoter (<=1kb)",1
"23","ENSG00000001036","Promoter (1-2kb)",1
"24","ENSG00000001036","Promoter (2-3kb)",1
"25","ENSG00000001084","Distal Intergenic",8
"26","ENSG00000001084","Intron",3
"27","ENSG00000001084","Promoter (<=1kb)",1
"28","ENSG00000001084","Promoter (1-2kb)",1
"29","ENSG00000001084","Promoter (2-3kb)",1
"30","ENSG00000001460","Intron",2
"31","ENSG00000001460","Promoter (<=1kb)",2
"32","ENSG00000001461","Promoter (<=1kb)",1
"33","ENSG00000001497","Exon",1
"34","ENSG00000001497","Intron",1
"35","ENSG00000001497","Promoter (<=1kb)",1
"36","ENSG00000001497","Promoter (2-3kb)",1
"37","ENSG00000001561","Intron",2
"38","ENSG00000001561","Promoter (<=1kb)",2
"39","ENSG00000001617","Promoter (<=1kb)",1
"40","ENSG00000001626","Distal Intergenic",5
"41","ENSG00000001626","Intron",8
"42","ENSG00000001629","Intron",2
"43","ENSG00000001629","Promoter (1-2kb)",1
"44","ENSG00000001630","Promoter (<=1kb)",1
"45","ENSG00000001630","Promoter (2-3kb)",1
"46","ENSG00000001631","Promoter (<=1kb)",1
"47","ENSG00000002016","Intron",2
"48","ENSG00000002016","Promoter (<=1kb)",1
"49","ENSG00000002549","Distal Intergenic",1
"50","ENSG00000002549","Exon",1
"51","ENSG00000002549","Intron",1
"52","ENSG00000002549","Promoter (<=1kb)",1
"53","ENSG00000002587","Distal Intergenic",10
"54","ENSG00000002587","Intron",6
"55","ENSG00000002587","Promoter (<=1kb)",1
"56","ENSG00000002726","Distal Intergenic",1
"57","ENSG00000002745","Distal Intergenic",4
"58","ENSG00000002745","Intron",5
"59","ENSG00000002745","Promoter (<=1kb)",1
"60","ENSG00000002746","Distal Intergenic",5
"61","ENSG00000002746","Promoter (<=1kb)",1
"62","ENSG00000002746","Promoter (1-2kb)",1
"63","ENSG00000002822","Intron",14
"64","ENSG00000002822","Promoter (<=1kb)",2
"65","ENSG00000002834","Distal Intergenic",1
"66","ENSG00000002834","Promoter (<=1kb)",1
"67","ENSG00000002919","Downstream (1-2kb)",1
"68","ENSG00000002919","Promoter (<=1kb)",3
"69","ENSG00000002919","Promoter (2-3kb)",1
"70","ENSG00000003056","Promoter (<=1kb)",1
"71","ENSG00000003056","Promoter (1-2kb)",1
"72","ENSG00000003056","Promoter (2-3kb)",1
"73","ENSG00000003096","Distal Intergenic",9
"74","ENSG00000003096","Downstream (<1kb)",1
"75","ENSG00000003096","Downstream (2-3kb)",1
"76","ENSG00000003096","Exon",1
"77","ENSG00000003096","Intron",4
"78","ENSG00000003096","Promoter (<=1kb)",2
"79","ENSG00000003137","Distal Intergenic",2
"80","ENSG00000003137","Intron",3
"81","ENSG00000003137","Promoter (<=1kb)",1
"82","ENSG00000003137","Promoter (1-2kb)",1
"83","ENSG00000003147","Distal Intergenic",2
"84","ENSG00000003147","Exon",1
"85","ENSG00000003147","Intron",13
"86","ENSG00000003147","Promoter (<=1kb)",1
"87","ENSG00000003147","Promoter (2-3kb)",1
"88","ENSG00000003249","Promoter (<=1kb)",2
"89","ENSG00000003393","Promoter (<=1kb)",1
"90","ENSG00000003400","Distal Intergenic",1
"91","ENSG00000003400","Intron",2
"92","ENSG00000003400","Promoter (<=1kb)",1
"93","ENSG00000003402","Intron",3
"94","ENSG00000003402","Promoter (<=1kb)",4
"95","ENSG00000003402","Promoter (1-2kb)",1
"96","ENSG00000003436","Distal Intergenic",12
"97","ENSG00000003436","Intron",2
"98","ENSG00000003436","Promoter (<=1kb)",2
"99","ENSG00000003509","Promoter (2-3kb)",1
"100","ENSG00000003756","Intron",1
"101","ENSG00000003756","Promoter (<=1kb)",1
"102","ENSG00000003987","Intron",1
"103","ENSG00000004059","Promoter (<=1kb)",1
"104","ENSG00000004139","Promoter (<=1kb)",2
"105","ENSG00000004399","Distal Intergenic",1
"106","ENSG00000004399","Exon",1
"107","ENSG00000004399","Promoter (<=1kb)",1
"108","ENSG00000004455","Promoter (<=1kb)",1
"109","ENSG00000004468","Distal Intergenic",3
"110","ENSG00000004468","Intron",5
"111","ENSG00000004468","Promoter (<=1kb)",1
"112","ENSG00000004478","Distal Intergenic",1
"113","ENSG00000004478","Promoter (<=1kb)",1
"114","ENSG00000004487","Promoter (<=1kb)",1
"115","ENSG00000004534","Intron",1
"116","ENSG00000004534","Promoter (<=1kb)",1
"117","ENSG00000004534","Promoter (2-3kb)",1
"118","ENSG00000004660","Promoter (<=1kb)",1
"119","ENSG00000004700","Promoter (<=1kb)",1
"120","ENSG00000004766","Promoter (<=1kb)",1
"121","ENSG00000004777","Promoter (<=1kb)",1
"122","ENSG00000004779","Promoter (<=1kb)",2
"123","ENSG00000004799","Distal Intergenic",4
"124","ENSG00000004809","Distal Intergenic",1
"125","ENSG00000004809","Intron",1
"126","ENSG00000004838","Promoter (<=1kb)",1
"127","ENSG00000004838","Promoter (1-2kb)",1
"128","ENSG00000004846","Distal Intergenic",3
"129","ENSG00000004846","Intron",2
"130","ENSG00000004846","Promoter (<=1kb)",1
"131","ENSG00000004848","Distal Intergenic",8
"132","ENSG00000004848","Intron",3
"133","ENSG00000004848","Promoter (<=1kb)",1
"134","ENSG00000004848","Promoter (1-2kb)",1
"135","ENSG00000004848","Promoter (2-3kb)",1
"136","ENSG00000004864","Distal Intergenic",1
"137","ENSG00000004864","Intron",2
"138","ENSG00000004864","Promoter (<=1kb)",1
"139","ENSG00000004864","Promoter (2-3kb)",1
"140","ENSG00000004866","Distal Intergenic",3
"141","ENSG00000004866","Intron",14
"142","ENSG00000004866","Promoter (<=1kb)",3
"143","ENSG00000004866","Promoter (1-2kb)",2
"144","ENSG00000004866","Promoter (2-3kb)",1
"145","ENSG00000004897","Distal Intergenic",2
"146","ENSG00000004897","Exon",2
"147","ENSG00000004897","Intron",1
"148","ENSG00000004897","Promoter (<=1kb)",1
"149","ENSG00000004939","Distal Intergenic",1
"150","ENSG00000004939","Downstream (1-2kb)",1
"151","ENSG00000004948","Intron",2
"152","ENSG00000004948","Promoter (<=1kb)",1
"153","ENSG00000004961","3' UTR",1
"154","ENSG00000004961","Intron",4
"155","ENSG00000004961","Promoter (<=1kb)",1
"156","ENSG00000004961","Promoter (2-3kb)",2
"157","ENSG00000004975","Promoter (<=1kb)",2
"158","ENSG00000005001","Distal Intergenic",1
"159","ENSG00000005007","3' UTR",1
"160","ENSG00000005007","Exon",1
"161","ENSG00000005007","Intron",3
"162","ENSG00000005007","Promoter (<=1kb)",1
"163","ENSG00000005020","Distal Intergenic",1
"164","ENSG00000005020","Intron",1
"165","ENSG00000005020","Promoter (<=1kb)",2
"166","ENSG00000005022","Promoter (<=1kb)",1
"167","ENSG00000005059","Intron",1
"168","ENSG00000005059","Promoter (<=1kb)",1
"169","ENSG00000005100","Promoter (<=1kb)",1
"170","ENSG00000005102","Distal Intergenic",3
"171","ENSG00000005102","Promoter (<=1kb)",1
"172","ENSG00000005108","3' UTR",1
"173","ENSG00000005108","Distal Intergenic",1
"174","ENSG00000005108","Intron",19
"175","ENSG00000005108","Promoter (<=1kb)",1
"176","ENSG00000005108","Promoter (1-2kb)",1
"177","ENSG00000005156","Exon",1
"178","ENSG00000005156","Promoter (<=1kb)",1
"179","ENSG00000005175","3' UTR",1
"180","ENSG00000005175","Distal Intergenic",4
"181","ENSG00000005175","Exon",1
"182","ENSG00000005175","Promoter (<=1kb)",1
"183","ENSG00000005175","Promoter (2-3kb)",1
"184","ENSG00000005187","Intron",1
"185","ENSG00000005187","Promoter (<=1kb)",1
"186","ENSG00000005189","Promoter (<=1kb)",1
"187","ENSG00000005206","Intron",1
"188","ENSG00000005206","Promoter (2-3kb)",2
"189","ENSG00000005238","Promoter (<=1kb)",2
