"","ENSEMBL","annotation","count"
"1","ENSG00000000419","Exon",1
"2","ENSG00000000457","Intron",2
"3","ENSG00000000460","Intron",3
"4","ENSG00000000938","Distal Intergenic",1
"5","ENSG00000000938","Promoter (1-2kb)",1
"6","ENSG00000000971","Distal Intergenic",1
"7","ENSG00000001036","Distal Intergenic",1
"8","ENSG00000001084","Distal Intergenic",3
"9","ENSG00000001084","Downstream (2-3kb)",1
"10","ENSG00000001084","Intron",4
"11","ENSG00000001167","Promoter (<=1kb)",1
"12","ENSG00000001460","3' UTR",1
"13","ENSG00000001460","Intron",3
"14","ENSG00000001461","Promoter (2-3kb)",1
"15","ENSG00000001617","Exon",1
"16","ENSG00000001617","Intron",2
"17","ENSG00000001617","Promoter (<=1kb)",1
"18","ENSG00000001617","Promoter (1-2kb)",1
"19","ENSG00000001626","Distal Intergenic",1
"20","ENSG00000001626","Intron",6
"21","ENSG00000001629","Intron",3
"22","ENSG00000002549","Distal Intergenic",1
"23","ENSG00000002549","Promoter (<=1kb)",1
"24","ENSG00000002586","Distal Intergenic",2
"25","ENSG00000002586","Exon",1
"26","ENSG00000002586","Intron",2
"27","ENSG00000002586","Promoter (<=1kb)",1
"28","ENSG00000002587","Distal Intergenic",3
"29","ENSG00000002587","Promoter (<=1kb)",1
"30","ENSG00000002745","Distal Intergenic",2
"31","ENSG00000002745","Downstream (<1kb)",2
"32","ENSG00000002745","Intron",1
"33","ENSG00000002746","Distal Intergenic",3
"34","ENSG00000002746","Intron",1
"35","ENSG00000002822","Intron",11
"36","ENSG00000002822","Promoter (<=1kb)",1
"37","ENSG00000002834","Intron",1
"38","ENSG00000002919","Intron",1
"39","ENSG00000002919","Promoter (<=1kb)",1
"40","ENSG00000003137","Distal Intergenic",15
"41","ENSG00000003137","Exon",1
"42","ENSG00000003137","Intron",4
"43","ENSG00000003147","Distal Intergenic",1
"44","ENSG00000003147","Intron",3
"45","ENSG00000003147","Promoter (1-2kb)",1
"46","ENSG00000003249","Intron",1
"47","ENSG00000003249","Promoter (<=1kb)",1
"48","ENSG00000003393","Exon",1
"49","ENSG00000003393","Intron",1
"50","ENSG00000003400","Intron",2
"51","ENSG00000003436","Distal Intergenic",3
"52","ENSG00000003436","Intron",3
"53","ENSG00000003509","Intron",1
"54","ENSG00000003756","Exon",2
"55","ENSG00000003756","Intron",4
"56","ENSG00000003987","3' UTR",1
"57","ENSG00000003987","Intron",1
"58","ENSG00000003989","Intron",1
"59","ENSG00000004399","Distal Intergenic",4
"60","ENSG00000004399","Intron",4
"61","ENSG00000004399","Promoter (<=1kb)",2
"62","ENSG00000004455","Intron",2
"63","ENSG00000004468","Distal Intergenic",2
"64","ENSG00000004468","Intron",3
"65","ENSG00000004468","Promoter (<=1kb)",2
"66","ENSG00000004487","Promoter (<=1kb)",1
"67","ENSG00000004660","Promoter (<=1kb)",1
"68","ENSG00000004700","Intron",3
"69","ENSG00000004777","Promoter (1-2kb)",1
"70","ENSG00000004779","Exon",1
"71","ENSG00000004779","Intron",1
"72","ENSG00000004799","Distal Intergenic",4
"73","ENSG00000004809","Distal Intergenic",4
"74","ENSG00000004846","Distal Intergenic",2
"75","ENSG00000004846","Exon",2
"76","ENSG00000004846","Intron",2
"77","ENSG00000004848","Distal Intergenic",1
"78","ENSG00000004848","Downstream (<1kb)",1
"79","ENSG00000004848","Intron",1
"80","ENSG00000004864","Intron",1
"81","ENSG00000004866","3' UTR",1
"82","ENSG00000004866","Distal Intergenic",3
"83","ENSG00000004866","Intron",11
"84","ENSG00000004866","Promoter (1-2kb)",2
"85","ENSG00000004897","3' UTR",1
"86","ENSG00000004897","Distal Intergenic",3
"87","ENSG00000004897","Downstream (1-2kb)",1
"88","ENSG00000004897","Exon",4
"89","ENSG00000004897","Intron",3
"90","ENSG00000004897","Promoter (2-3kb)",1
"91","ENSG00000004939","3' UTR",1
"92","ENSG00000004939","Distal Intergenic",1
"93","ENSG00000004939","Downstream (<1kb)",1
"94","ENSG00000004939","Downstream (2-3kb)",1
"95","ENSG00000004939","Intron",2
"96","ENSG00000004939","Promoter (1-2kb)",1
"97","ENSG00000004948","Intron",2
"98","ENSG00000004948","Promoter (<=1kb)",2
"99","ENSG00000004948","Promoter (1-2kb)",1
"100","ENSG00000004961","Distal Intergenic",1
"101","ENSG00000004961","Intron",2
"102","ENSG00000005001","Distal Intergenic",1
"103","ENSG00000005001","Promoter (1-2kb)",1
"104","ENSG00000005001","Promoter (2-3kb)",1
"105","ENSG00000005007","Distal Intergenic",1
"106","ENSG00000005007","Intron",1
"107","ENSG00000005007","Promoter (<=1kb)",1
"108","ENSG00000005007","Promoter (1-2kb)",1
"109","ENSG00000005007","Promoter (2-3kb)",1
"110","ENSG00000005020","Distal Intergenic",1
"111","ENSG00000005020","Intron",5
"112","ENSG00000005059","Intron",3
"113","ENSG00000005102","3' UTR",1
"114","ENSG00000005102","Distal Intergenic",8
"115","ENSG00000005102","Intron",1
"116","ENSG00000005102","Promoter (<=1kb)",2
"117","ENSG00000005108","Intron",13
"118","ENSG00000005156","Distal Intergenic",1
"119","ENSG00000005175","Distal Intergenic",9
"120","ENSG00000005187","Promoter (<=1kb)",1
"121","ENSG00000005189","Intron",1
"122","ENSG00000005194","3' UTR",2
"123","ENSG00000005194","Intron",3
"124","ENSG00000005194","Promoter (<=1kb)",1
"125","ENSG00000005194","Promoter (2-3kb)",1
"126","ENSG00000005206","3' UTR",1
"127","ENSG00000005206","Distal Intergenic",1
"128","ENSG00000005206","Exon",1
"129","ENSG00000005206","Intron",1
"130","ENSG00000005206","Promoter (1-2kb)",1
"131","ENSG00000005238","Promoter (<=1kb)",2
"132","ENSG00000005249","Distal Intergenic",4
"133","ENSG00000005249","Intron",2
"134","ENSG00000005302","Distal Intergenic",3
"135","ENSG00000005302","Intron",1
"136","ENSG00000005339","3' UTR",1
"137","ENSG00000005339","Distal Intergenic",4
"138","ENSG00000005339","Intron",6
"139","ENSG00000005421","Intron",2
"140","ENSG00000005436","Distal Intergenic",1
"141","ENSG00000005448","Exon",1
"142","ENSG00000005471","Intron",2
"143","ENSG00000005486","Distal Intergenic",2
"144","ENSG00000005513","Distal Intergenic",6
"145","ENSG00000005700","Distal Intergenic",1
"146","ENSG00000005801","3' UTR",1
"147","ENSG00000005810","Distal Intergenic",1
"148","ENSG00000005810","Promoter (2-3kb)",2
"149","ENSG00000005844","Distal Intergenic",1
"150","ENSG00000005844","Intron",1
"151","ENSG00000005882","Intron",1
"152","ENSG00000005889","3' UTR",1
"153","ENSG00000005889","Distal Intergenic",4
"154","ENSG00000005889","Promoter (<=1kb)",1
"155","ENSG00000005893","Distal Intergenic",1
"156","ENSG00000005893","Exon",1
"157","ENSG00000005893","Intron",1
"158","ENSG00000005893","Promoter (2-3kb)",1
"159","ENSG00000005961","3' UTR",1
"160","ENSG00000005961","Promoter (<=1kb)",2
"161","ENSG00000005961","Promoter (1-2kb)",1
"162","ENSG00000005981","Distal Intergenic",2
"163","ENSG00000006007","Exon",1
"164","ENSG00000006007","Intron",2
"165","ENSG00000006015","Promoter (<=1kb)",1
"166","ENSG00000006025","Distal Intergenic",1
"167","ENSG00000006025","Promoter (<=1kb)",2
"168","ENSG00000006042","Distal Intergenic",1
"169","ENSG00000006047","3' UTR",1
"170","ENSG00000006062","Distal Intergenic",5
"171","ENSG00000006062","Intron",2
"172","ENSG00000006062","Promoter (<=1kb)",3
"173","ENSG00000006062","Promoter (2-3kb)",2
"174","ENSG00000006071","Distal Intergenic",1
"175","ENSG00000006071","Intron",3
"176","ENSG00000006071","Promoter (<=1kb)",1
"177","ENSG00000006116","Intron",5
"178","ENSG00000006125","Intron",1
"179","ENSG00000006128","Distal Intergenic",3
"180","ENSG00000006210","3' UTR",2
"181","ENSG00000006210","Distal Intergenic",1
"182","ENSG00000006282","Promoter (<=1kb)",2
"183","ENSG00000006282","Promoter (1-2kb)",1
"184","ENSG00000006283","Exon",1
"185","ENSG00000006283","Promoter (<=1kb)",2
"186","ENSG00000006283","Promoter (1-2kb)",3
"187","ENSG00000006432","5' UTR",1
"188","ENSG00000006432","Distal Intergenic",1
"189","ENSG00000006432","Exon",1
"190","ENSG00000006451","Intron",1
"191","ENSG00000006453","Distal Intergenic",6
"192","ENSG00000006453","Intron",4
"193","ENSG00000006459","Intron",2
"194","ENSG00000006468","Distal Intergenic",1
"195","ENSG00000006468","Intron",3
"196","ENSG00000006530","Distal Intergenic",1
"197","ENSG00000006530","Intron",6
"198","ENSG00000006576","Distal Intergenic",1
"199","ENSG00000006576","Exon",1
"200","ENSG00000006576","Intron",14
"201","ENSG00000006576","Promoter (<=1kb)",2
"202","ENSG00000006611","Exon",1
"203","ENSG00000006611","Intron",1
"204","ENSG00000006611","Promoter (2-3kb)",1
"205","ENSG00000006625","Distal Intergenic",1
"206","ENSG00000006625","Intron",1
"207","ENSG00000006634","Intron",1
"208","ENSG00000006652","Distal Intergenic",3
"209","ENSG00000006652","Intron",4
"210","ENSG00000006652","Promoter (<=1kb)",1
"211","ENSG00000006659","Promoter (2-3kb)",1
"212","ENSG00000006704","Distal Intergenic",5
"213","ENSG00000006704","Exon",1
"214","ENSG00000006704","Intron",6
"215","ENSG00000006704","Promoter (1-2kb)",1
"216","ENSG00000006712","Promoter (<=1kb)",1
"217","ENSG00000006712","Promoter (2-3kb)",1
"218","ENSG00000006715","Exon",1
"219","ENSG00000006715","Intron",1
"220","ENSG00000006740","Intron",5
"221","ENSG00000006744","Distal Intergenic",12
"222","ENSG00000006744","Intron",1
"223","ENSG00000006747","Distal Intergenic",2
"224","ENSG00000006747","Intron",2
"225","ENSG00000006756","Distal Intergenic",1
"226","ENSG00000006756","Exon",1
"227","ENSG00000006756","Intron",1
"228","ENSG00000006757","Distal Intergenic",1
"229","ENSG00000006788","Distal Intergenic",1
"230","ENSG00000006788","Exon",2
"231","ENSG00000006788","Intron",3
"232","ENSG00000006788","Promoter (<=1kb)",1
"233","ENSG00000006831","Distal Intergenic",2
"234","ENSG00000006831","Intron",3
"235","ENSG00000006831","Promoter (<=1kb)",1
"236","ENSG00000006837","3' UTR",1
"237","ENSG00000006837","Intron",2
"238","ENSG00000007001","Distal Intergenic",1
"239","ENSG00000007001","Intron",8
"240","ENSG00000007001","Promoter (<=1kb)",1
"241","ENSG00000007038","Distal Intergenic",1
"242","ENSG00000007038","Promoter (<=1kb)",1
"243","ENSG00000007047","Exon",1
"244","ENSG00000007047","Intron",2
"245","ENSG00000007047","Promoter (<=1kb)",1
"246","ENSG00000007047","Promoter (1-2kb)",2
"247","ENSG00000007047","Promoter (2-3kb)",1
"248","ENSG00000007062","Intron",1
"249","ENSG00000007062","Promoter (2-3kb)",1
"250","ENSG00000007080","Distal Intergenic",4
"251","ENSG00000007129","Distal Intergenic",2
"252","ENSG00000007129","Exon",1
"253","ENSG00000007129","Intron",4
"254","ENSG00000007129","Promoter (<=1kb)",1
"255","ENSG00000007129","Promoter (2-3kb)",1
"256","ENSG00000007168","Distal Intergenic",1
"257","ENSG00000007168","Intron",5
"258","ENSG00000007174","Exon",1
"259","ENSG00000007174","Intron",4
"260","ENSG00000007237","Distal Intergenic",4
"261","ENSG00000007237","Intron",12
"262","ENSG00000007237","Promoter (<=1kb)",2
"263","ENSG00000007237","Promoter (1-2kb)",1
"264","ENSG00000007237","Promoter (2-3kb)",1
"265","ENSG00000007255","Intron",2
"266","ENSG00000007264","Exon",2
"267","ENSG00000007264","Promoter (<=1kb)",2
"268","ENSG00000007264","Promoter (1-2kb)",1
"269","ENSG00000007306","3' UTR",1
"270","ENSG00000007306","Intron",1
"271","ENSG00000007306","Promoter (<=1kb)",1
"272","ENSG00000007341","5' UTR",1
"273","ENSG00000007341","Intron",1
"274","ENSG00000007350","Exon",1
"275","ENSG00000007350","Intron",1
"276","ENSG00000007372","3' UTR",2
"277","ENSG00000007372","Intron",3
"278","ENSG00000007384","Exon",1
"279","ENSG00000007384","Intron",1
"280","ENSG00000007392","Intron",7
"281","ENSG00000007402","Distal Intergenic",3
"282","ENSG00000007402","Intron",1
"283","ENSG00000007402","Promoter (1-2kb)",1
"284","ENSG00000007516","Distal Intergenic",1
"285","ENSG00000007541","3' UTR",1
"286","ENSG00000007541","Promoter (<=1kb)",1
"287","ENSG00000007545","Intron",4
"288","ENSG00000007545","Promoter (2-3kb)",1
"289","ENSG00000007866","Promoter (<=1kb)",1
"290","ENSG00000007866","Promoter (2-3kb)",2
"291","ENSG00000007908","Intron",2
"292","ENSG00000007923","Distal Intergenic",2
"293","ENSG00000007923","Intron",1
"294","ENSG00000007944","Distal Intergenic",1
"295","ENSG00000007944","Promoter (<=1kb)",1
"296","ENSG00000007944","Promoter (1-2kb)",1
"297","ENSG00000007968","Distal Intergenic",1
"298","ENSG00000007968","Intron",1
"299","ENSG00000008056","Downstream (<1kb)",1
"300","ENSG00000008083","Distal Intergenic",10
"301","ENSG00000008083","Intron",6
"302","ENSG00000008083","Promoter (<=1kb)",3
"303","ENSG00000008086","Distal Intergenic",2
"304","ENSG00000008118","Distal Intergenic",4
"305","ENSG00000008128","3' UTR",1
"306","ENSG00000008128","Intron",1
"307","ENSG00000008130","Exon",1
"308","ENSG00000008130","Intron",6
"309","ENSG00000008130","Promoter (2-3kb)",2
"310","ENSG00000008226","Intron",5
"311","ENSG00000008226","Promoter (<=1kb)",2
"312","ENSG00000008256","Distal Intergenic",2
"313","ENSG00000008256","Intron",12
"314","ENSG00000008277","Intron",2
"315","ENSG00000008282","Distal Intergenic",4
"316","ENSG00000008283","3' UTR",1
"317","ENSG00000008294","Distal Intergenic",1
"318","ENSG00000008294","Intron",10
"319","ENSG00000008300","Intron",1
"320","ENSG00000008300","Promoter (2-3kb)",2
"321","ENSG00000008323","Distal Intergenic",5
"322","ENSG00000008323","Intron",1
"323","ENSG00000008323","Promoter (1-2kb)",1
"324","ENSG00000008382","Exon",1
"325","ENSG00000008394","Distal Intergenic",1
"326","ENSG00000008405","Distal Intergenic",4
"327","ENSG00000008405","Intron",2
"328","ENSG00000008438","Distal Intergenic",2
"329","ENSG00000008438","Promoter (2-3kb)",1
"330","ENSG00000008441","Distal Intergenic",1
"331","ENSG00000008441","Intron",10
"332","ENSG00000008513","Distal Intergenic",10
"333","ENSG00000008513","Intron",2
"334","ENSG00000008516","Promoter (<=1kb)",1
"335","ENSG00000008516","Promoter (2-3kb)",1
"336","ENSG00000008517","Distal Intergenic",1
"337","ENSG00000008517","Exon",1
"338","ENSG00000008517","Promoter (2-3kb)",1
"339","ENSG00000008710","Exon",2
"340","ENSG00000008710","Intron",1
"341","ENSG00000008710","Promoter (1-2kb)",1
"342","ENSG00000008710","Promoter (2-3kb)",1
"343","ENSG00000008853","Exon",2
"344","ENSG00000008869","Intron",4
"345","ENSG00000008988","Distal Intergenic",1
"346","ENSG00000009335","Distal Intergenic",3
"347","ENSG00000009335","Exon",1
"348","ENSG00000009335","Intron",2
"349","ENSG00000009335","Promoter (<=1kb)",1
"350","ENSG00000009335","Promoter (2-3kb)",1
"351","ENSG00000009413","Distal Intergenic",2
